elo_home,elo_away,elo_diff,home_form_pts,home_goal_diff_5,home_clean_sheet_rate,home_btts_rate,home_over25_rate,away_form_pts,away_goal_diff_5,away_clean_sheet_rate,away_btts_rate,away_over25_rate,home_rest_days,away_rest_days,home_matches_last_30d,away_matches_last_30d,home_avg_cards_5,away_avg_cards_5,home_avg_corners_5,away_avg_corners_5,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,odds_home,odds_draw,odds_away,implied_prob_home,implied_prob_draw,implied_prob_away,fixture_id,date,goals_home,goals_away,league_id
1525.5137581086574,1522.6914217184824,2.8223363901749963,3.0,9,1.0,0.0,0.3333333333333333,2.0,0,0.0,0.8,0.8,2.0,2.0,1,1,0.0,0.0,,,1,0,0,6.0,,,,,,,140660,2025-11-17,7,0,60
1466.8742636646623,1474.2404418837666,-7.366178219104313,1.2,1,0.2,0.2,0.6,1.4,3,0.2,0.6,0.8,9.0,9.0,5,5,1.4,2.0,,,0,0,0,,,,,,,,52870,2025-11-17,1,0,12
1603.2838879528033,1388.249626613678,215.03426133912535,2.2,9,0.4,0.6,0.6,0.4,-4,0.2,0.6,0.4,3.0,4.0,1,1,0.6,2.6,,,1,0,0,5.0,,,,,,,142565,2025-11-17,4,0,63
1382.1465714692672,1593.338553510877,-211.1919820416099,1.0,-11,0.4,0.2,0.4,1.6,3,0.2,0.8,0.4,3.0,3.0,1,1,3.4,1.4,,,0,0,1,2.0,,,,,,,142564,2025-11-17,2,3,63
1506.0863322384128,1415.65265499337,90.43367724504265,1.2,0,0.2,0.4,0.4,0.0,-11,0.0,0.2,0.4,3.0,3.0,1,1,3.2,3.4,,,4,1,0,3.0,,,,,,,142562,2025-11-17,1,0,63
1533.2986532398104,1299.8323816210263,233.46627161878405,1.4,-1,0.6,0.4,0.4,0.0,-13,0.0,0.4,0.8,4.0,3.0,1,1,1.0,1.2,,,1,0,0,4.0,,,,,,,142561,2025-11-17,6,0,63
1649.8364053048842,1545.4055317127581,104.43087359212609,2.4,7,0.6,0.2,0.4,2.4,4,0.8,0.0,0.0,3.0,3.0,1,1,1.6,1.2,,,1,0,1,2.5,,,,,,,142560,2025-11-17,6,0,63
1476.9625161293582,1615.4416154315722,-138.47909930221408,0.6,-11,0.0,0.2,0.6,2.6,10,0.8,0.2,0.6,3.0,3.0,1,1,3.0,0.8,,,0,0,1,4.0,,,,,,,142563,2025-11-17,2,3,63
1510.8848670565606,1536.137996128962,-25.253129072401407,1.0,0,0.6,0.4,0.0,2.2,9,0.8,0.2,0.4,9.0,5.0,5,5,1.2,1.6,,,1,1,3,1.8,,,,,,,488967,2025-11-18,1,2,1401
1504.4194853607557,1498.8004068335117,5.619078527244028,1.5,0,0.5,0.0,0.0,1.5,0,0.5,0.0,0.0,3.0,3.0,2,2,0.0,0.0,,,0,0,0,,,,,,,,140661,2025-11-18,0,1,60
1558.8369991251134,1574.2767152218098,-15.43971609669643,1.4,1,0.4,0.4,0.4,2.2,6,0.2,0.8,0.4,5.0,6.0,4,4,0.0,0.0,,,0,2,1,1.3333333333333333,,,,,,,416057,2025-11-18,1,1,1310
1494.9854870933104,1479.8400776988424,15.14540939446806,0.6,-3,0.2,0.6,0.2,0.0,-3,0.0,0.5,0.5,3.0,3.0,2,2,0.0,0.0,,,0,0,0,,,,,,,,140662,2025-11-18,1,0,60
1549.6721670825252,1451.0496640618242,98.62250302070106,1.6,1,0.4,0.4,0.4,0.6,-9,0.2,0.2,0.6,4.0,4.0,1,1,0.0,0.0,,,1,0,0,1.0,,,,,,,140663,2025-11-18,3,0,60
1495.0541922379616,1513.5656838233651,-18.51149158540352,0.5,-1,0.0,1.0,1.0,2.0,5,0.25,0.75,0.75,3.0,3.0,2,2,0.0,0.0,,,0,0,0,,,,,,,,140666,2025-11-18,0,1,60
1554.3003648686258,1465.5456266731585,88.75473819546733,2.0,1,0.6,0.2,0.4,0.8,0,0.2,0.6,0.8,4.0,4.0,1,1,0.0,0.0,,,0,0,1,5.0,,,,,,,140664,2025-11-18,1,0,60
1484.854548066605,1489.8436443368428,-4.989096270237724,1.4,-7,0.2,0.6,0.6,1.0,0,0.0,0.75,0.75,3.0,3.0,2,2,0.0,0.0,,,0,0,0,,,,,,,,140665,2025-11-18,0,3,60
1471.7293354787257,1500.520475633753,-28.79114015502728,0.75,-2,0.25,0.5,0.5,1.5,-1,0.5,0.0,0.0,3.0,3.0,2,2,0.0,0.0,,,0,0,0,,,,,,,,140667,2025-11-18,0,0,60
1475.5408231108306,1510.3488761667493,-34.80805305591866,0.8,0,0.2,0.4,0.6,1.75,3,0.5,0.5,0.75,3.0,3.0,1,2,0.0,0.0,,,0,0,0,,,,,,,,140668,2025-11-18,2,3,60
1592.5756382579643,1615.080760185672,-22.505121927707705,2.0,4,0.4,0.4,0.6,2.4,16,0.4,0.4,0.8,9.0,9.0,4,4,0.6,0.4,,,2,0,3,2.6,,,,,,,314554,2025-11-18,1,2,1210
1438.0647904179882,1576.0882302602263,-138.02343984223808,0.2,-13,0.0,0.4,0.6,2.6,6,1.0,0.0,0.2,7.0,6.0,5,5,0.0,0.0,,,0,0,5,2.6,,,,,,,416058,2025-11-18,0,4,1310
1544.1100416203994,1491.318833212629,52.791208407770455,1.4,2,0.4,0.6,0.8,1.0,-2,0.3333333333333333,0.0,0.0,35.0,34.0,0,0,1.2,0.0,,,0,0,0,,,,,,,,462708,2025-11-18,2,0,1375
